# Language File – BACKEND
# POLISH
# languages
"english";"Angielski"
"french";"Francuski"
"german";"Niemiecki"
"italian";
"polish";"Polski"
"russian";
"spanish";
"swedish";
# admin section -- Auth --
"Login";"Zaloguj"
"You must enter a username.";
"You must enter a password.";
"The username or password you entered was not correct.";
"Your password has been reset for security and sent to your email address";
"Sorry, there was an error sending you your updated password.  Please contact us for more help.";
"Sorry, we could not locate your account. Please contact us to resolve this issue.";
"Need Help?";
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Jeśli masz problemy z zalogowaniem się prosimy o wprowadzenie twójego adresu email. Wyślemy nań dane rejestracyjne."
"Reset Password";"Reset hasła"
"Administrator Login";"Logowanie Administratora"
"Please enter your username (this is your email address) and password to get started.";"Wprowadź nazwę użytkownika (twój adres email) oraz hasło aby rozpocząć pracę."
"Username";"Nazwa użytkownika"
"Password";"Hasło"
"Log In";"Zaloguj"
# admin section -- Design --
"Design";"Wygląd"
"Open";
"Add to my bookmarks";"Dodaj do zakładek"
"Delete";
"Design Options";"Opcje wyglądu"
"Create a new design";"Stwórz nowy wygląd"
"Design Name";"Nazwa wyglądu"
"Design Notes";"Notatki wyglądu"
"Create Design";"Stwóz wygląd"
"Current Designs";"Obecne wyglądy"
"Tools";
"Preview Design";
"Who Uses This?";"Kto tego używa?"
"These are the pages that use this design:";"To są strony które używają tego wyglądu:"
"No pages use this design currently.";
"Update Design";"Uaktualnij wygląd"
"Design details";"Szczegóły wyglądu"
"This is the default site design";"Czy to jest domyślny wygląd strony?"
"Layout";"Layout"
"Skin";
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";
# admin section -- Index --
"Home";"Start"
"Your bookmark was saved successfully.";
"My Content";
"The following pages are the pages that you have recently created.";"Ostatnio zostały stworzone następujące strony."
"These are the modules that you are working with.";
"These pages have not been published yet.";
"My Dashboard";"Moja tablica ogłoszeń"
"My Account";"Moje konto"
"First Name";"Imię"
"Last Name";"Nazwisko"
"Email";"Email"
"Update Password?";"Uaktualnić hasło?"
"Confirm";"Potwierdź"
"Update My Account";"Uaktualnienie konta"
"My Bookmarks";"Moje zakładki"
"You do not have any bookmarks.";"Nie masz żadnych zakładek."
"My Writeboard";"Mój notatnik"
"The writeboard is a personal spot for you to keep notes about your site.";"Notatnik jest miejscem, gdzie możesz przetrzymywać prywatne notatki na temat strony."
"Save My Writeboard";"Zapisz notatnik"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus jest systemem CMS wspieranym przez środowisko open source. Aby dowiedzieć się więcej sprawdź"
"Digitalus Site";"Strona Digitalusa"
"Wiki";"Wiki"
"Forum";"Forum"
# admin section -- Media --
"Media";"Media"
"Open Folder";"Otwórz katalog"
"Options";"Opcje"
"Media Manager";"Manager mediów"
"Create New Folder";"Stwórz nowy katalog"
"Browse Folder";"Przeglądaj katalog"
"Upload Media";"Załaduj media"
"Create Subfolder";"Stwórz podkatalog"
"Rename Folder";"Zmień nazwę katalogu"
"Current Folder";"Aktualny katalog"
"Media Root";"Korzeń mediów"
"Current folder contents";"Zawartość aktualnego katalogu"
"Upload Files";"Załaduj pliki"
"Rename folder";"Zmień nazwę katalogu"
"Folder Name";"Nazwa katalogu"
"Create Folder";"Stwórz katalog"
"Subfolders";"Podkatalogi"
"Full path";"Pełna ścieżka"
"Files";"Pliki"
"New Name";"Nowa nazwa"
"Select the files to upload";"Wybierz pliki do załadowania"
"You do not have any media files on the server";"Nie masz żadnych mediów na serwerze"
# admin section -- Module --
"Modules";"Moduły"
"Download";
"CMS Modules";"Moduły CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS używa systemu modułów aby dodać dodatkowe funcjonalności do twojej strony."
"Select the module page";"Wybierz stronę modułu"
"My Modules";"Moje moduły"
# admin section -- Navigation --
"Navigation";"Nawigacja"
"Open Menu";"Otwórz menu"
"Current Menu";
"Update Menu";"Uaktualnij menu"
"click to toggle visibility";
"Save Changes";"Zapisz zmiany"
"Main Menu";"Menu główne"
# admin section -- Page --
"Pages";"Strony"
"Sorry, there was an error adding your page";
"Sorry, there was an error opening your page";
"Page";"Strona"
"Page Title";"Tytuł storny"
"Filename";"Nazwa pliku"
"Meta Description";"Opis danych meta"
"Meta Keywords";"Słowa kluczowe"
"Search Tags";"Tagi wyszukiwania"
"Update Meta Data";
"Publish or Archive Page";
"Publish or Archive";
"Step 3: Enter the name for your page";"Krok 3: Wprawadź nazwę strony"
"Page Name";"Nazwa strony"
"Create Page";"Stwórz stronę"
"Page Options";"Opcje strony"
"Content Sections";
"Page Head and Meta Data";"Nagłówek storny i dane meta"
"Properties";"Właściwości"
"Attachments";
"Related Content";
"Content Template";
"Move Page";"Przenieś stronę"
"Publish / Archive";
"Page Versions";"Wersje strony"
"Update Page";"Uaktualnij stronę"
"Edit Meta Data";"Edytuj dane meta"
"Edit Page Properties";"Edytuj właściwości stony"
"Publish / Archive Page";
"Content";"Zawartość"
"Current design";"Obecny wygląd"
"Open design";"Otwórz wygląd."
"The design is not yet set for this page.";"Wygląd nie jest jeszcze ustawiony dla tej strony"
"Other designs";"Inne wyglądy"
"Make current";"Zastosuj jako aktualny"
"Click the new parent page for this page to move it.";"Kliknij nową stronę nadrzędną dla tej strony aby ją przenieść"
"Remove";"Usuń"
"Property";"Własność"
"Value";"Wartość"
"Add a new property";"Dodaj nową właściwość"
"Update properties";"Uaktualnij właściwości"
"Publish";
"Unpublish";
"Archive";
"The following pages have not been published yet!";
"Change the status of this page.";
"This page was published on";
"This page was archived on";
"This page";
"Change publishing state";
"Update Related Content";
"Select the template for this page";
"Update Content Template";
"My Pages";"Moje strony"
"Create a Page";"Stwórz stronę"
"To create a new page...";"Aby stworzyć nową stronę..."
"Step 1: Select the parent section";"Krok 1: Wybierz sekcję nadrzędną"
"Parent Page";"Strona nadrzędna"
"Next >>";"Dalej >>"
"Current Version";"Aktualna wercja"
"Available Versions";"Dostępne wercje"
"Default";"Domyślny"
"Step 2: What type of page would you like to create?";"Krok 2: Jaki rodzaj strony chcesz stworzyć?"
"Select a type";"Wybierz typ"
"You can not add any pages to this section.";
"Parent page";
"Site Root";"Korzeń strony"
"Template";
"Continue adding pages";
"Publish page instantly";
"Submit";
# admin section -- Site --
"Site Settings";"Ustawienia strony"
"Site";
"Site Console";"Konsola strony"
"About the Console";"O konsoli"
"The site console enables you to interact directly with the CMS core.";"Ta konsola pozwala na bezpośrednie zarządzanie kodem CMS."
"It is for experienced administrators only.";"Jest przeznaczona wyłącznie dla doświadczonych administratorów."
"Digitalus Console";
"Info";"Informacje"
"Run Command";
"General";"Ogólne"
"Meta Data";
"Internationalization";"Internacjonalizajca"
"Mail";
"Google";"Google"
"Update Site Settings";"Uaktualnij ustawienia strony"
"General settings";"Ogólne ustawienia"
"Site name";"Nazwa strony"
"Title separator";"Separator tytyłu"
"Status";"Status"
"Site is online";"Strona jest w trybie on-line"
"Update General Site Settings";"Uaktualnij ogólne ustawienia strony"
"Managing Content";"Zarządzanie treścią"
"Home Page";"Strona domowa"
"404 Page";"Strona 404"
"Site Offline Page";
"Menu links";"Linki menu"
"Automatically add menu links";"Automatycznie dodaj linki menu."
"Publish Pages";
"Automatically publish pages on creation";
"Update Content Settings";"Uaktualnij ustawienia treści"
"Default design";
"Update Design Settings";
"XML declaration";
"Doc Type";
"Default charset";"Domyślny charset"
"Default timezone";
"Update Page Meta Data";"Uaktualnij dane meta strony"
"Default language";"Domyślny język"
"Admin language";
"Update Internationalization Settings";"Uaktalnij ustawienia internacjonalizacji"
"Mail Settings";"Ustawienia maili"
"Default email address";"Domyślny adres email"
"Default sender";"Domyślny nadawca"
"Transport";"Transport"
"Use SMTP transport ";"Używaj transportu SMTP"
"SMTP host";"Host SMTP"
"SMTP username";"Nazwa użytkownika SMTP"
"SMTP password";"Hasło SMTP"
"Update Mail Settings";"Uaktualnij ustaweiania maili"
"Send test message";"Wyślij wiadomość testową"
