# ----- layout -----
Digitalus CMS;Digitalus CMS
Current User;Aktualny użytkownik
Role;Rola
Log Out;Wyloguj
Log In ;Zaloguj
Login ;Zaloguj
Home;Start
Site;Strona
Pages;Strony
Navigation;Nawigacja
Design;Wygląd
Modules;Moduły
Public Site;Strona Publiczna

value;wartość

# ----- toolbar -----
You are here:;Jesteś tutaj:
Add to my bookmarks;Dodaj do zakładek
Your bookmark was saved successfully.;Zakładka została zapisana pomyślnie
Delete;Usuń

# ----- admin home -----
Digitalus CMS is a community supported open source project. To learn more about the project check out;Digitalus jest systemem CMS wspieranym przez środowisko open source. Aby dowiedzieć się więcej sprawdź
Digitalus Site;Strona Digitalusa
Wiki;Wiki
Forum;Forum
Training and Support;Trening i wsparcie
If you need any help building or managing your site check out our support options.;Jeśli potrzebujesz pomocy przy budowaniu czy zarządzaniu swoją stroną sprawdź opcje pomocy.
My Dashboard;Moja tablica ogłoszeń
My Account;Moje konto
My Bookmarks;Moje zakładki
You do not have any bookmarks.;Nie masz żadnych zakładek.
My Writeboard;Mój notatnik
The writeboard is a personal spot for you to keep notes about your site.;Notatnik jest miejscem, gdzie możesz przetrzymywać prywatne notatki na temat strony.
You have no notes to view;Nie masz żadnych wiadomości do obejrzenia
Save My Writeboard;Zapisz notatnik
My Content;Moja zawartość

# ----- admin_auth -----
Administrator Login;Logowanie Administratora
Admin User Login;Logowanie Administratora
Forgot Password;Zapomniałem hasło
Reset Password;Reset hasła
Admin Login;Logowanie Administratora
Please enter your username (this is your email address) and password to get started.;Wprowadź nazwę użytkownika (twój adres email) oraz hasło aby rozpocząć pracę.
Username;Nazwa użytkownika
Password;Hasło
Confirm Password;Potwierdź hasło
Log In;Zaloguj
If you are having trouble logging in please enter your email address below and we will send you your login credentials.;Jeśli masz problemy z zalogowaniem się prosimy o wprowadzenie twójego adresu email. Wyślemy nań dane rejestracyjne.
Send Reminder;Wyślij przypomnienie

# ----- admin_user -----
Update My Account;Uaktualnienie konta
Update Account;
Account Information
First Name;Imię
Last Name;Nazwisko
Email;Email
Password;Hasło
Confirm;Potwierdź
Update password?;Uaktualnić hasło?
Super Administrator;Super Administrator
Site Administrator;Administrator strony
User Options;Opcje użytkownika
Account;Konto
User Permissions;Uprawnienia użytkownika
Update Permissions;Uaktualnij uprawnienia
Copy User Permissions;Skopiuj uprawnienia użytkownika
Select User;Wybierz użytkownika

# ----- admin_site -----
The site sections is where you manage your site.;W tej sekcji zarządzasz stroną
Admin Users;Administratorzy
Create new user;Stwórz nowego użytkownika
Open User;Otwórz użytkownika
Site Reports;Raporty strony
Traffic report;Raporty ruchu
Admin access report;Raporty działań administracyjnych
Site Console;Konsola strony
The site console enables you to interact directly with the CMS core.  It is for experienced administrators only.;Ta konsola pozwala na bezpośrednie zarządzanie kodem CMS. Jest przeznaczona wyłącznie dla doświadczonych administratorów.
Open console;Otwórz konsolę
Site Settings;Ustawienia strony
General settings;Ogólne ustawienia
Update Site Settings;Uaktualnij ustawienia strony
General Information;Informacje ogólne
Site name;Nazwa strony
Title separator;Separator tytyłu
Status:;Status:
Site is online;Strona jest w trybie on-line
Content;Zawartość
Managing Content;Zarządzanie treścią
Menu links;Linki menu
Automatically add menu links;Automatycznie dodaj linki menu.
Update Page Meta Data;Uaktualnij dane meta strony
Internationalization;Internacjonalizajca
Default locale;Domyślne dane lokalne
Default language;Domyślny język
Default charset;Domyślny charset
english;Angielski
french;Francuski
german;Niemiecki
polish;Polski
Date format;Format daty
Currency format;Waluty
Mail Settings;Ustawienia maili
Default email address;Domyślny adres email
Default sender;Domyślny nadawca
Transport;Transport
Use SMTP transport;Używaj transportu SMTP
SMTP host;Host SMTP
SMTP username;Nazwa użytkownika SMTP
SMTP password;Hasło SMTP
Send test message;Wyślij wiadomość testową
Google Integration;Intergracja z Google
Tracking code;Kod śledzenia (Tracking code)
Verification code;Kod weryfikacyjny (Verification Code)
Options;Opcje
General settings;Ustawienia ogólne
Content settings;Ustawienia treści
Internationalization;Internacjonalizacja
Mail settings;Ustawienia maili
Google integration;Integracja z Google
Update General Site Settings;Uaktualnij ogólne ustawienia strony
Update Content Settings;Uaktualnij ustawienia treści
Update Internationalization Settings;Uaktalnij ustawienia internacjonalizacji
Update Mail Settings;Uaktualnij ustaweiania maili
Update Google Settings;Uaktualnij ustawienia Google
System Console;Konsola systemu
About the Console;O konsoli
Info;Informacje
Run;Uruchom
The console...;Kosola ...

# ----- admin_user -----
Update User;Uaktualnij użytkownika
Create User;Stwórz użytkownika
Options;Opcje
User;Użytkownik
First Name;Imię
Last Name;Nazwisko
Email Address;Adres email
Admin Role;Rola administracyjna
Create User;Stwórz użytkownika
Options;Opcje
General;Ogólne
Credentials;Dane użytkownika
Permissions;Uprawnienia
Copy User;Kopiuj użytkownika
